algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,34,71,0,53,0.3238095238095238,1.0,1.0,0.4274193548387097,0.5506329113924051,0.6619047619047619,0.4892086330935252
arow,3,70,35,0,53,0.6666666666666666,1.0,1.0,0.6022727272727273,0.7784810126582279,0.8333333333333333,0.8
scw,1,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,2,1,104,0,53,0.009523809523809525,1.0,1.0,0.3375796178343949,0.34177215189873417,0.5047619047619047,0.01886792452830189
scw,3,40,65,0,53,0.38095238095238093,1.0,1.0,0.4491525423728814,0.5886075949367089,0.6904761904761905,0.5517241379310345
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,51,54,0,53,0.4857142857142857,1.0,1.0,0.4953271028037383,0.6582278481012658,0.7428571428571429,0.6538461538461539
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,3,42,63,0,53,0.4,1.0,1.0,0.45689655172413796,0.6012658227848101,0.7,0.5714285714285715
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
