algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
adam,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
rda,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
arow,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
scw,1,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
scw,2,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
scw,3,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
nherd,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
nherd,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa1,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,1,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,2,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
pa2,3,0,105,0,53,0.0,1.0,nan,0.33544303797468356,0.33544303797468356,0.5,nan
