algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
adam,2,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
adam,3,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
rda,1,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
rda,2,73,32,0,53,0.6952380952380952,1.0,1.0,0.6235294117647059,0.7974683544303798,0.8476190476190476,0.8202247191011236
rda,3,74,31,0,53,0.7047619047619048,1.0,1.0,0.6309523809523809,0.8037974683544303,0.8523809523809525,0.8268156424581006
arow,1,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
arow,2,101,4,0,53,0.9619047619047619,1.0,1.0,0.9298245614035088,0.9746835443037974,0.980952380952381,0.9805825242718447
arow,3,104,1,0,53,0.9904761904761905,1.0,1.0,0.9814814814814815,0.9936708860759493,0.9952380952380953,0.9952153110047847
scw,1,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
scw,2,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
scw,3,105,0,53,0,1.0,0.0,0.6645569620253164,nan,0.6645569620253164,0.5,0.7984790874524714
nherd,1,104,1,53,0,0.9904761904761905,0.0,0.6624203821656051,0.0,0.6582278481012658,0.49523809523809526,0.7938931297709925
nherd,2,104,1,8,45,0.9904761904761905,0.8490566037735849,0.9285714285714286,0.9782608695652174,0.9430379746835443,0.9197663971248877,0.9585253456221199
nherd,3,103,2,0,53,0.9809523809523809,1.0,1.0,0.9636363636363636,0.9873417721518988,0.9904761904761905,0.9903846153846153
