algorithm,dimension,TP,FN,FP,TN,sensitivity,specificity,precision,neg_predictive_value,accuracy_biased,accuracy_balanced,f1_score
adam,1,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
adam,2,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
adam,3,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
adam,5,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
rda,1,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
rda,2,1578,6301,0,282,0.20027922325168168,1.0,1.0,0.04283761203098891,0.22791324592574438,0.6001396116258408,0.3337210531881146
rda,3,1580,6299,0,282,0.2005330625713923,1.0,1.0,0.04285063060325178,0.22815831393211616,0.6002665312856962,0.33407336927793635
rda,5,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
arow,1,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
arow,2,1892,5987,0,282,0.24013199644624952,1.0,1.0,0.04498325091721168,0.266388922926112,0.6200659982231248,0.3872684474465254
arow,3,1935,5944,0,282,0.24558954182002793,1.0,1.0,0.04529392868615483,0.271657885063105,0.622794770910014,0.3943346240065213
arow,5,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
scw,1,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
scw,2,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
scw,3,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
scw,5,5846,2033,37,245,0.7419723315141515,0.8687943262411347,0.9937106918238994,0.10755048287971905,0.7463546134052199,0.8053833288776431,0.8495858160151141
nherd,1,1936,5943,282,0,0.24571646147988324,0.0,0.872858431018936,0.0,0.23722583016787158,0.12285823073994162,0.3834802416559374
nherd,2,1935,5944,115,167,0.24558954182002793,0.5921985815602837,0.9439024390243902,0.027327769595810833,0.25756647469672833,0.4188940616901558,0.38976734817202136
nherd,3,1922,5957,0,282,0.24393958624190887,1.0,1.0,0.04519955121012983,0.27006494302168854,0.6219697931209545,0.3922048770533619
nherd,5,7879,0,282,0,1.0,0.0,0.9654454111015807,nan,0.9654454111015807,0.5,0.9824189526184538
