4776 3
131.462 23.241 174.226
95.348 -16.032 -168.459
91.580 -19.514 -165.774
90.770 -14.704 -161.642
92.802 -9.029 -159.966
96.563 -4.030 -157.690
97.392 1.086 -156.481
97.956 5.749 -156.428
102.496 8.006 -157.834
104.699 11.063 -157.793
105.658 15.054 -157.422
106.709 19.281 -157.451
108.004 24.121 -157.552
109.140 28.865 -157.648
114.535 42.191 -159.411
112.549 60.975 -153.804
110.343 80.012 -146.659
-91.006 72.053 64.453
-88.305 65.479 64.133
-85.228 59.130 63.671
-83.181 54.093 64.714
-82.164 48.574 66.851
-81.037 43.555 68.743
-79.822 38.740 70.620
-80.248 32.663 74.566
-79.862 26.993 77.922
-78.368 21.701 80.543
-75.545 17.787 83.020
-70.603 16.213 84.712
-67.409 13.487 87.376
-67.553 7.134 92.139
-66.895 2.048 96.447
-64.522 -1.512 99.447
-63.206 -6.053 103.402
-62.125 -11.076 107.828
-60.495 -15.296 112.480
-58.174 -19.048 117.202
-55.546 -21.738 121.371
-53.750 -27.923 127.440
-50.746 -32.706 135.839
-47.335 -34.292 141.762
-44.017 -35.328 147.406
-40.913 -36.360 152.876
-37.919 -37.579 158.282
-33.898 -38.372 164.358
-30.477 -39.006 170.510
-27.007 -39.905 177.027
-21.336 -41.321 -173.965
-13.326 -43.661 -160.151
-14.940 -42.692 -159.398
-14.800 -42.700 -156.479
-11.141 -43.243 -150.155
-11.217 -42.177 -147.256
-11.401 -41.494 -145.782
-11.737 -41.341 -149.698
-14.048 -39.506 -156.234
-14.444 -38.300 -159.734
-14.371 -37.306 -160.919
-13.891 -36.521 -161.227
-12.191 -35.762 -156.016
-9.747 -35.679 -146.596
-0.264 -36.183 -111.516
7.984 -35.542 -92.003
11.607 -34.557 -83.103
12.723 -33.847 -80.127
12.935 -33.426 -77.666
-34.316 36.004 -117.797
12.427 -32.076 -73.393
13.461 -30.066 -69.149
14.461 -29.107 -63.736
15.301 -29.350 -57.295
16.414 -30.072 -50.183
11.529 -29.347 -64.625
15.620 -29.968 -47.106
17.688 -30.165 -39.000
18.880 -30.461 -31.405
20.014 -30.753 -25.083
17.701 -29.827 -18.286
19.819 -31.264 -15.102
21.366 -32.406 -12.107
22.208 -33.283 -9.147
-132.634 78.381 -113.020
22.526 -36.070 -3.414
19.346 -38.840 3.381
16.313 -37.648 -0.956
